,Census Block FIPS Code,Max Advertised Downstream Speed (mbps)
1140,22055,10000.0
1141,22057,1000.0
1142,22059,1000.0
1143,22061,1000.0
1144,22063,1000.0
1145,22065,1000.0
1146,22067,1000.0
1147,22069,1000.0
1148,22071,1000.0
1149,22073,5000.0
1150,22075,5000.0
1151,22077,1024.0
1152,22079,1000.0
1153,22081,1000.0
1154,22083,1000.0
1155,22085,60.0
1156,22087,1000.0
1157,22089,1000.0
1158,22091,1000.0
1159,22093,1000.0
1160,22095,1000.0
1161,22097,1000.0
1162,22099,1000.0
1163,22101,1000.0
1164,22103,1000.0
1165,22105,1000.0
1166,22107,25.0
1167,22109,1000.0
1168,22111,1000.0
1169,22113,1000.0
1170,22115,1000.0
1171,22117,1000.0
1172,22119,1000.0
1173,22121,1024.0
1174,22123,1000.0
1175,22125,1000.0
1176,22127,25.0
1177,23001,1000.0
1178,23003,1000.0
1179,23005,1000.0
1180,23007,1000.0
1181,23009,1000.0
1182,23011,1000.0
1183,23013,1000.0
1184,23015,1000.0
1185,23017,1000.0
1186,23019,1000.0
1187,23021,1000.0
1188,23023,1000.0
1189,23025,1000.0
1190,23027,1000.0
1191,23029,1000.0
1192,23031,1000.0
1193,24001,1000.0
1194,24003,2000.0
1195,24005,10000.0
1196,24009,1000.0
1197,24011,1000.0
1198,24013,1000.0
1199,24015,1000.0
1200,24017,1000.0
1201,24019,1000.0
1202,24021,1000.0
1203,24023,1000.0
1204,24025,1000.0
1205,24027,1000.0
1206,24029,1000.0
1207,24031,1000.0
1208,24033,2000.0
1209,24035,1000.0
1210,24037,1000.0
1211,24039,1000.0
1212,24041,1000.0
1213,24043,1000.0
1214,24045,1000.0
1215,24047,1000.0
1216,24510,2000.0
1217,25001,2000.0
1218,25003,1000.0
1219,25005,1000.0
1220,25007,2000.0
1221,25009,2000.0
1222,25011,1000.0
1223,25013,1000.0
1224,25015,1000.0
1225,25017,2000.0
1226,25019,1000.0
1227,25021,2000.0
1228,25023,2000.0
1229,25025,2000.0
1230,25027,1000.0
1231,26001,940.0
1232,26003,940.0
1233,26005,1000.0
1234,26007,940.0
1235,26009,1000.0
1236,26011,1000.0
1237,26013,940.0
1238,26015,1000.0
1239,26017,1000.0
1240,26019,940.0
1241,26021,1000.0
1242,26023,940.0
1243,26025,1100.0
1244,26027,1000.0
1245,26029,1000.0
1246,26031,1000.0
1247,26033,1000.0
1248,26035,1000.0
1249,26037,1000.0
1250,26039,940.0
1251,26041,940.0
1252,26043,940.0
1253,26045,1000.0
1254,26047,1000.0
1255,26049,1000.0
1256,26051,940.0
1257,26053,940.0
1258,26055,1000.0
1259,26057,1000.0
1260,26059,1000.0
1261,26061,940.0
1262,26063,1000.0
1263,26065,1000.0
1264,26067,1000.0
1265,26069,940.0
1266,26071,1000.0
1267,26073,1000.0
1268,26075,1000.0
1269,26077,1000.0
1270,26079,940.0
1271,26081,1000.0
1272,26083,940.0
1273,26085,1000.0
1274,26087,1000.0
1275,26089,1000.0
1276,26091,1000.0
1277,26093,1000.0
1278,26095,940.0
1279,26097,1000.0
1280,26099,1000.0
1281,26101,940.0
1282,26103,1000.0
1283,26105,940.0
1284,26107,1000.0
1285,26109,1000.0
1286,26111,1000.0
1287,26113,940.0
1288,26115,1000.0
1289,26117,1000.0
1290,26119,100.0
1291,26121,1000.0
1292,26123,1000.0
1293,26125,2000.0
1294,26127,1000.0
1295,26129,940.0
1296,26131,940.0
1297,26133,1000.0
1298,26135,400.0
1299,26137,1000.0
